datename,box,taste,social_experience,sex_target,playlist,interaction_index
rpi6-20210730_153825,box00,False,False,female,False,0.15453965435934422
rpi6-20210730_153825,box02,False,False,female,False,0.43775055987171335
rpi6-20210730_153825,box01,False,False,female,False,0.12688386524822695
rpi6-20210730_153825,box03,False,False,female,False,0.30415973377703825
rpi6-20210730_153825,box04,False,False,female,False,0.2265155084957175
rpi8-20210804_141714,box02,False,False,female,False,0.23395933312990652
rpi8-20210804_141714,box00,False,False,female,False,0.10535126388036382
rpi8-20210804_141714,box01,False,False,female,False,0.1707161480002219
rpi8-20210804_141714,box04,False,False,female,False,0.21955766460469453
rpi8-20210804_141714,box03,False,False,female,False,0.2468621570587582
rpi6-20220609_091940,box06,False,False,female,False,0.14298574851460466
rpi6-20220609_091940,box03,False,False,female,False,0.2804896646379504
rpi6-20220609_091940,box05,False,False,female,False,0.10633664195669473
rpi6-20220609_091940,box00,False,False,female,False,0.2560468212581826
rpi6-20220609_091940,box07,False,False,female,False,0.2641091030047677
rpi6-20220609_091940,box09,False,False,female,False,0.18247395508205363
rpi6-20220609_091940,box08,False,False,female,False,0.3783595986547708
rpi6-20220609_091940,box04,False,False,female,False,0.16527292078455222
rpi6-20220609_091940,box02,False,False,female,False,0.284492707276039
rpi6-20220609_091940,box01,False,False,female,False,0.3259830893312346
rpi8-20230315_091815,box09,False,False,female,False,0.21433998628639203
rpi8-20230315_091815,box03,False,False,female,False,0.0754107439542182
rpi8-20230315_091815,box08,False,False,female,False,0.19603101347609378
rpi8-20230315_091815,box02,False,False,female,False,0.28255629262823506
rpi8-20230315_091815,box01,False,False,female,False,0.08174417102032527
rpi8-20230315_091815,box04,False,False,female,False,0.2392669770191384
rpi8-20230315_091815,box07,False,False,female,False,0.1560078059659883
rpi8-20230315_091815,box00,False,False,female,False,0.15047351806383724
rpi8-20230315_091815,box05,False,False,female,False,0.19771208559317327
rpi8-20230315_091815,box06,False,False,female,False,0.27287165281625114
rpi9-20210519_095753,box01,True,False,female,False,0.734003099745378
rpi9-20210519_095753,box02,True,False,female,False,0.6785951144025644
rpi9-20210519_095753,box03,True,False,female,False,0.4240340265694479
rpi9-20210519_095753,box00,True,False,female,False,0.7786825812928775
rpi5-20210525_103308,box01,True,False,female,False,0.6974799286351472
rpi5-20210525_103308,box05,True,False,female,False,0.729234595192042
rpi5-20210525_103308,box03,True,False,female,False,0.583321824158219
rpi5-20210525_103308,box02,True,False,female,False,0.6287970838396112
rpi5-20210525_103308,box00,True,False,female,False,0.5850074713597875
rpi5-20210525_103308,box04,True,False,female,False,0.6267712620501064
rpi6-20220614_095519,box05,True,False,female,False,0.6747417814304754
rpi6-20220614_095519,box00,True,False,female,False,0.6451195052649172
rpi6-20220614_095519,box04,True,False,female,False,0.7875533794216244
rpi6-20220614_095519,box07,True,False,female,False,0.5497214600482249
rpi6-20220614_095519,box03,True,False,female,False,0.23073828482645728
rpi6-20220614_095519,box08,True,False,female,False,0.6478552799511681
rpi6-20220614_095519,box01,True,False,female,False,0.7555833680990126
rpi6-20220614_095519,box09,True,False,female,False,0.5617161349463187
rpi6-20220614_095519,box06,True,False,female,False,0.7170403276185188
rpi6-20220614_095519,box02,True,False,female,False,0.6530479085974484
rpi8-20220628_142110,box06,True,False,female,False,0.4201398549514959
rpi8-20220628_142110,box08,True,False,female,False,0.7666456236770768
rpi8-20220628_142110,box02,True,False,female,False,0.6453247351450945
rpi8-20220628_142110,box04,True,False,female,False,0.7461399231678487
rpi8-20220628_142110,box00,True,False,female,False,0.5705924708749516
rpi9-20210511_101721,box01,False,False,male,False,0.24064200668526756
rpi9-20210511_101721,box03,False,False,male,False,0.20727493850023496
rpi9-20210511_101721,box04,False,False,male,False,0.23911000552791598
rpi9-20210511_101721,box02,False,False,male,False,0.1359188412206988
rpi9-20210511_101721,box00,False,False,male,False,0.5884862001672707
rpi9-20210512_102810,box02,False,False,male,False,0.40319394138952913
rpi9-20210512_102810,box01,False,False,male,False,0.2834057911574112
rpi9-20210512_102810,box00,False,False,male,False,0.36851196841325984
rpi9-20210512_102810,box03,False,False,male,False,0.505449704634329
rpi6-20220628_154121,box04,False,False,male,False,0.3004887910383694
rpi6-20220628_154121,box00,False,False,male,False,0.2323295257874697
rpi6-20220628_154121,box01,False,False,male,False,0.3258204713879757
rpi6-20220628_154121,box06,False,False,male,False,0.243802624120339
rpi6-20220628_154121,box02,False,False,male,False,0.20393599513186828
rpi6-20220628_154121,box08,False,False,male,False,0.15026372987415723
rpi8-20220805_152843,box02,False,False,male,False,0.12915676959619954
rpi8-20220805_152843,box00,False,False,male,False,0.19618177127483138
rpi8-20220805_152843,box06,False,False,male,False,0.11998523031477891
rpi8-20220805_152843,box04,False,False,male,False,0.18989511714069787
rpi6-20220809_101229,box00,False,False,male,False,0.2863142190111757
rpi6-20220809_101229,box02,False,False,male,False,0.19611283014697756
rpi6-20220809_101229,box06,False,False,male,False,0.2371696363057413
rpi6-20220809_101229,box04,False,False,male,False,0.18933843933843933
rpi8-20220816_115330,box00,False,False,male,False,0.16199158485273493
rpi8-20220816_115330,box06,False,False,male,False,0.19699961249607884
rpi8-20220816_115330,box08,False,False,male,False,0.1354301095092364
rpi8-20220816_115330,box01,False,False,male,False,0.1687753552044162
rpi8-20220816_115330,box04,False,False,male,False,0.17873799472781904
rpi8-20220816_115330,box02,False,False,male,False,0.16327959465684017
rpi8-20220816_115330,box03,False,False,male,False,0.1808861087463449
rpi6-20220809_093320,box02,True,False,male,False,0.2297749854695414
rpi6-20220809_093320,box00,True,False,male,False,0.2994959007312209
rpi6-20220809_093320,box04,True,False,male,False,0.18436514661147613
rpi6-20220809_093320,box06,True,False,male,False,0.14155175278285428
rpi6-20220810_145426,box08,True,False,male,False,0.16002600924158158
rpi6-20220810_145426,box02,True,False,male,False,0.15168973997623586
rpi6-20220810_145426,box06,True,False,male,False,0.17457114026236126
rpi6-20220810_145426,box04,True,False,male,False,0.18035980766042115
rpi6-20220810_145426,box00,True,False,male,False,0.1871332078396634
rpi8-20230523_094059,box08,True,False,male,False,0.18288124044712079
rpi8-20230523_094059,box09,True,False,male,False,0.13959783449342614
rpi8-20230523_094059,box02,True,False,male,False,0.18516608971053988
rpi8-20230523_094059,box04,True,False,male,False,0.15447513812154695
rpi8-20230523_094059,box03,True,False,male,False,0.1615415776681152
rpi8-20230523_094059,box05,True,False,male,False,0.19920362791726579
rpi8-20230523_094059,box06,True,False,male,False,0.14034796712005604
rpi8-20230523_094059,box07,True,False,male,False,0.12869279961666757
rpi8-20230530_113247,box03,True,False,male,False,0.11844649466880283
rpi8-20230530_113247,box06,True,False,male,False,0.11688335604581783
rpi8-20230530_113247,box01,True,False,male,False,0.10326857563760243
rpi8-20230530_113247,box04,True,False,male,False,0.15021269543119165
rpi8-20230530_113247,box00,True,False,male,False,0.09667796110783736
rpi8-20230530_113247,box02,True,False,male,False,0.15245777851446674
rpi8-20230530_113247,box07,True,False,male,False,0.15227649769585253
rpi8-20230530_113247,box05,True,False,male,False,0.06229049250377574
rpi8-20230530_113247,box08,True,False,male,False,0.10973408956982911
rpi8-20230607_145300,box02,True,False,male,False,0.15415806546741373
rpi8-20230607_145300,box03,True,False,male,False,0.19305424984792346
rpi8-20230607_145300,box05,True,False,male,False,0.26063133036916775
rpi8-20230607_145300,box04,True,False,male,False,0.12168161971960723
rpi9-20210518_095103,box01,False,False,female,True,0.49381068650275395
rpi9-20210518_095103,box04,False,False,female,True,0.633223958622991
rpi9-20210518_095103,box00,False,False,female,True,0.39255475668323014
rpi9-20210518_095103,box07,False,False,female,True,0.4554107237558266
rpi9-20210518_095103,box02,False,False,female,True,0.4485122682358166
rpi9-20210518_095103,box05,False,False,female,True,0.49345328719723186
rpi9-20210518_095103,box03,False,False,female,True,0.48872264403751675
rpi9-20210518_095103,box09,False,False,female,True,0.35536776560849503
rpi9-20210518_095103,box08,False,False,female,True,0.4816522681185588
rpi9-20210518_095103,box06,False,False,female,True,0.3766751578247868
rpi8-20220405_155301,box03,False,False,female,True,0.32131138345906834
rpi8-20220405_155301,box02,False,False,female,True,0.27809545377342465
rpi8-20220405_155301,box05,False,False,female,True,0.3074518559866034
rpi8-20220405_155301,box01,False,False,female,True,0.25884181888845703
rpi8-20220405_155301,box00,False,False,female,True,0.07966666666666666
rpi8-20220609_092052,box01,False,False,female,True,0.2520447337673176
rpi8-20220609_092052,box02,False,False,female,True,0.1778422960278127
rpi8-20220609_092052,box03,False,False,female,True,0.10334667556148544
rpi8-20220609_092052,box00,False,False,female,True,0.2563069669011862
rpi8-20230315_103623,box01,False,False,female,True,0.25817920565912605
rpi8-20230315_103623,box03,False,False,female,True,0.29432270916334663
rpi8-20230315_103623,box04,False,False,female,True,0.27614267525326147
rpi8-20230315_103623,box05,False,False,female,True,0.35362885381324677
rpi8-20230315_103623,box02,False,False,female,True,0.38019469744459605
rpi8-20231205_183150,box03,False,False,female,True,0.308583798430206
rpi8-20231205_183150,box01,False,False,female,True,0.2903282895318998
rpi8-20231205_183150,box02,False,False,female,True,0.2441668009315542
rpi8-20231205_183150,box05,False,False,female,True,0.22697770533791256
rpi8-20231205_183150,box00,False,False,female,True,0.3150353472778952
rpi8-20231205_183150,box04,False,False,female,True,0.4201814257379536
rpi8-20231212_152828,box02,False,False,female,True,0.5315373520043272
rpi8-20231212_152828,box05,False,False,female,True,0.23133981034382453
rpi8-20231212_152828,box04,False,False,female,True,0.2452367833425166
rpi8-20231212_152828,box03,False,False,female,True,0.20032547258910538
rpi9-20210519_091835,box01,True,False,female,True,0.6442198532465735
rpi9-20210519_091835,box04,True,False,female,True,0.7074194795867632
rpi9-20210519_091835,box09,True,False,female,True,0.7164410486393711
rpi9-20210519_091835,box06,True,False,female,True,0.6655612667882607
rpi9-20210519_091835,box00,True,False,female,True,0.723997970573313
rpi9-20210519_091835,box05,True,False,female,True,0.6779924063963639
rpi9-20210519_091835,box03,True,False,female,True,0.6065687169696466
rpi9-20210519_091835,box07,True,False,female,True,0.4674585635359116
rpi9-20210519_091835,box02,True,False,female,True,0.584554300413824
rpi9-20210519_091835,box08,True,False,female,True,0.6840895877744249
rpi8-20220614_095554,box08,True,False,female,True,0.7033941379115604
rpi8-20220614_095554,box00,True,False,female,True,0.6639732258422396
rpi8-20220614_095554,box02,True,False,female,True,0.7802640081233269
rpi8-20220614_095554,box01,True,False,female,True,0.7564941132498598
rpi8-20220614_095554,box09,True,False,female,True,0.5518578710201669
rpi8-20220614_095554,box03,True,False,female,True,0.7220304568527919
rpi8-20220614_095554,box04,True,False,female,True,0.6803882133697438
rpi8-20220614_095554,box05,True,False,female,True,0.6195136472733361
rpi8-20220614_095554,box06,True,False,female,True,0.8108022565210106
rpi8-20220614_095554,box07,True,False,female,True,0.6442723542675489
rpi8-20220927_100957,box01,True,False,female,True,0.4826054910632025
rpi8-20220927_100957,box00,True,False,female,True,0.6630542286568044
rpi8-20220927_100957,box02,True,False,female,True,0.7066912782648823
rpi8-20221004_151646,box04,True,False,female,True,0.210064874884152
rpi8-20221004_151646,box05,True,False,female,True,0.6471292306559128
rpi8-20221004_151646,box00,True,False,female,True,0.6164388635774345
rpi8-20221004_151646,box01,True,False,female,True,0.676082029738544
rpi8-20221004_151646,box02,True,False,female,True,0.6985616817259819
rpi8-20221004_151646,box03,True,False,female,True,0.43964199554336014
rpi6-20220805_152807,box02,False,False,male,True,0.41163808068884106
rpi6-20220805_152807,box00,False,False,male,True,0.2316693101817069
rpi6-20220805_152807,box04,False,False,male,True,0.3229817104406939
rpi6-20220805_152807,box06,False,False,male,True,0.25291683390309055
rpi6-20220810_161214,box00,False,False,male,True,0.3069695792161652
rpi6-20220810_161214,box02,False,False,male,True,0.4067744888617638
rpi6-20220810_161214,box04,False,False,male,True,0.3209262244954689
rpi6-20220810_161214,box06,False,False,male,True,0.2989216311368614
rpi6-20220810_161214,box08,False,False,male,True,0.2019880881311694
rpi8-20220810_161248,box00,False,False,male,True,0.2636936050075224
rpi8-20220810_161248,box04,False,False,male,True,0.20920177383592017
rpi8-20220810_161248,box02,False,False,male,True,0.3040272053523574
rpi6-20220812_100923,box02,False,False,male,True,0.36650177663206296
rpi6-20220812_100923,box06,False,False,male,True,0.22172623173538136
rpi6-20220812_100923,box04,False,False,male,True,0.3988694943129207
rpi6-20220812_100923,box00,False,False,male,True,0.5200717743281589
rpi8-20220812_100924,box04,False,False,male,True,0.20392062670903852
rpi8-20220812_100924,box02,False,False,male,True,0.4958503121612023
rpi8-20220812_100924,box06,False,False,male,True,0.2700623277663726
rpi8-20220812_100924,box00,False,False,male,True,0.33725307491613865
rpi8-20221004_155639,box03,False,False,male,True,0.3062087820737812
rpi8-20221004_155639,box02,False,False,male,True,0.33570491379151035
rpi8-20221004_155639,box01,False,False,male,True,0.28485628485628484
rpi8-20221004_155639,box00,False,False,male,True,0.44152842497670086
rpi8-20230607_141847,box00,False,False,male,True,0.5051802102612047
rpi8-20230607_141847,box03,False,False,male,True,0.3067668616273044
rpi8-20230607_141847,box05,False,False,male,True,0.4333536890023872
rpi8-20230607_141847,box02,False,False,male,True,0.41644285287973737
rpi8-20230607_141847,box01,False,False,male,True,0.28125808478397457
rpi8-20230607_141847,box04,False,False,male,True,0.39793066429748086
rpi8-20230607_141847,box06,False,False,male,True,0.34930069280632997
rpi6-20220629_145218,box06,True,False,male,True,0.19467247212823785
rpi6-20220629_145218,box02,True,False,male,True,0.23157529974357197
rpi6-20220629_145218,box00,True,False,male,True,0.27264522936798846
rpi6-20220629_145218,box04,True,False,male,True,0.20163076582313527
rpi6-20220629_145218,box08,True,False,male,True,0.16777203937803747
rpi8-20220629_145229,box00,True,False,male,True,0.22735020565457442
rpi8-20220629_145229,box02,True,False,male,True,0.17921622867680959
rpi8-20220629_145229,box04,True,False,male,True,0.2395791028244416
rpi8-20220629_145229,box06,True,False,male,True,0.2018470386550904
rpi8-20220809_093357,box02,True,False,male,True,0.25969056729329565
rpi8-20220809_093357,box04,True,False,male,True,0.23024518130123328
rpi8-20220809_093357,box00,True,False,male,True,0.2057544638726987
rpi8-20220810_145500,box04,True,False,male,True,0.2445049853589829
rpi8-20220810_145500,box00,True,False,male,True,0.248803650257818
rpi8-20220810_145500,box02,True,False,male,True,0.2108892586430024
rpi6-20220816_123031,box06,True,False,male,True,0.36353249359045814
rpi6-20220816_123031,box00,True,False,male,True,0.4310995027655176
rpi6-20220816_123031,box04,True,False,male,True,0.3257701454565566
rpi6-20220816_123031,box02,True,False,male,True,0.19749350577571437
rpi8-20230523_103113,box09,True,False,male,True,0.1901902639382609
rpi8-20230523_103113,box05,True,False,male,True,0.1595540814446287
rpi8-20230523_103113,box04,True,False,male,True,0.16978804117636226
rpi8-20230523_103113,box02,True,False,male,True,0.2183852947141356
rpi8-20230523_103113,box07,True,False,male,True,0.20801755453522894
rpi8-20230523_103113,box03,True,False,male,True,0.2128146453089245
rpi8-20230523_103113,box08,True,False,male,True,0.23455196074814624
rpi8-20230523_103113,box06,True,False,male,True,0.17514790718248335
